,ANICE-ITM_Berends,CESM_kampenhout,dEBM_krebs,HIRHAM_mottram,NHM-SMAP_niwano,RACMO_noel,SNOWMODEL_liston
1980-01-31,15327518949.272013,25628362407.250782,6033434306.848472,12616378481.137665,-3493222806.7943296,5848299638.788025,6930347945.223399
1980-02-29,18965358912.419907,10441732705.617062,13971447134.599966,18998915509.825672,3118604142.741569,5988099288.470946,17115851523.82804
1980-03-31,45260584170.13594,7557257084.354316,24527791735.57754,53374410880.935165,24230065064.225548,30823994615.974834,28630913058.559467
1980-04-30,27321660832.541584,1333574802.8801787,13725241297.378973,49778158560.95679,16117472335.51357,34575226302.86666,14512366817.585524
1980-05-31,-2821797116.237879,-1606215973.5811734,2947000919.858721,390552503.74469376,-32786352238.7924,3281261614.1420918,1712514050.1053388
1980-06-30,-47790627708.547325,-30964598489.50484,-35602613185.812546,1407943482.6611147,-45340720788.84918,-30152088987.319695,4627312932.706585
1980-07-31,-62736400401.26446,-103157018390.33913,-45952372814.271454,-88764909674.9127,-74550297620.35564,-208500386728.1332,-3965262170.8228817
1980-08-31,-58074342303.64604,-75608813450.75958,-22103002161.63148,-55169636311.58617,-46816544703.21063,-82398610500.01674,-9750992926.46977
1980-09-30,-703025552.543676,9453085536.996191,10322647487.344128,37668604874.85107,-1643948468.025467,25165630386.574398,8897167651.552032
1980-10-31,28062568120.218002,5260109584.1268015,12759485947.39502,21036713219.03399,19236233833.77549,15777101576.417702,14172827831.30895
1980-11-30,22190969723.190224,14588323125.73354,8777238240.981092,21958752795.485626,3086515931.194395,13332826361.569717,10719333835.41501
1980-12-31,14177099150.461018,18447711286.54226,5359894981.093553,22111762337.820663,5479365638.788362,8649826658.927694,6696400064.3106365
1981-01-31,11232871905.738314,3128884925.6159034,3461749505.3665204,17026651459.17309,-51189468.72846855,6422187295.987921,4369261216.772915
1981-02-28,51947056169.90375,8985641296.829811,24089267900.97669,47709498411.81729,29806765627.583046,31280224623.738934,30530373023.526955
1981-03-31,13363154681.618513,21040515297.688602,4907244999.763635,24564408055.228832,2402329794.4555697,9022206460.823786,5606785774.06123
1981-04-30,16495186298.135206,7207664503.8483305,8077562029.994122,9540464169.914541,-7997193534.178645,5050843775.066792,8772367442.489252
1981-05-31,6149096621.567152,2378933259.3596125,4825883197.78459,16956680296.092264,-19882662294.675526,14982066326.815325,3742671772.595225
1981-06-30,-38812832259.67609,-33232800812.64198,-25075590116.699593,5821483086.475064,-37486290711.43878,-16060998823.024609,3176130043.2592373
1981-07-31,-53840373936.4933,-89449119679.8697,-41538345162.99702,-76102537514.13272,-71700197876.21997,-193849545064.76865,2020329371.02116
1981-08-31,-24544523355.729057,-63313471841.32294,4925349289.645161,-17616968669.261326,-46082417489.741776,-68041962588.01217,22225574214.9929
